,Route,Day of the week (1-7),Expected delay (seconds)
0,1823,1,75.0
1,1823,2,108.0
2,1823,3,80.0
3,1823,4,112.5
4,1823,5,67.5
5,1823,6,111.428571429
6,1823,7,162.857142857
7,2525,1,75.0
8,2525,2,108.0
9,2525,3,80.0
10,2525,4,112.5
11,2525,5,66.6666666667
12,2525,6,111.428571429
13,2525,7,162.857142857
